0,group,33.380448,1,27,33.380448,2.593804,0.118913,0.087647,NaN,ROI_ALL
1,block,12.824111,1,27,12.824111,12.004662,0.001788,0.307775,1.0,ROI_ALL
2,Interaction,11.956309,1,27,11.956309,11.192312,0.002424,0.293051,NaN,ROI_ALL
0,group,55.800434,1,27,55.800434,3.780955,0.062325,0.122834,NaN,ROI_LEFT
1,block,9.656602,1,27,9.656602,7.547011,0.010574,0.218456,1.0,ROI_LEFT
2,Interaction,10.553115,1,27,10.553115,8.247672,0.007847,0.233992,NaN,ROI_LEFT
0,group,30.760021,1,27,30.760021,2.245341,0.145619,0.076776,NaN,ROI_RIGHT
1,block,19.456073,1,27,19.456073,14.930867,0.000633,0.356083,1.0,ROI_RIGHT
2,Interaction,15.789442,1,27,15.789442,12.117042,0.001715,0.309764,NaN,ROI_RIGHT
0,group,23.589509,1,27,23.589509,1.462431,0.237027,0.051381,NaN,O1_dB
1,block,8.069580,1,27,8.069580,7.277631,0.011885,0.212314,1.0,O1_dB
2,Interaction,8.572549,1,27,8.572549,7.731239,0.009769,0.222602,NaN,O1_dB
0,group,28.060441,1,27,28.060441,2.253828,0.144890,0.077044,NaN,O2_dB
1,block,15.686305,1,27,15.686305,15.174222,0.000583,0.359799,1.0,O2_dB
2,Interaction,16.950448,1,27,16.950448,16.397097,0.000388,0.377839,NaN,O2_dB
0,group,8.154603,1,27,8.154603,0.642795,0.429700,0.023254,NaN,Oz_dB
1,block,8.228647,1,27,8.228647,10.106522,0.003688,0.272365,1.0,Oz_dB
2,Interaction,8.092034,1,27,8.092034,9.938732,0.003940,0.269060,NaN,Oz_dB
0,group,101.667583,1,27,101.667583,6.874347,0.014193,0.202937,NaN,PO7_dB
1,block,11.385995,1,27,11.385995,7.179099,0.012409,0.210044,1.0,PO7_dB
2,Interaction,12.739332,1,27,12.739332,8.032406,0.008593,0.229285,NaN,PO7_dB
0,group,33.583564,1,27,33.583564,2.122511,0.156681,0.072882,NaN,PO8_dB
1,block,23.631399,1,27,23.631399,14.176815,0.000821,0.344291,1.0,PO8_dB
2,Interaction,14.669620,1,27,14.669620,8.800516,0.006235,0.245821,NaN,PO8_dB
